userName,content,score,at
Frida Nurcahyani,"Update donk supaya bisa bayar via QRIS!, jangan harus top up dulu, sudah kuno, brand besar kalah sama App sebelah..",1,2025-11-09 15:05:18
abilene lola,sudah pengajuan email. semoga ada tanggapan segera.,3,2025-11-03 03:43:13
Dessy Astrinita,baru download tapi keterangan tidak ada signal padahal sudah coba pakai wifi dan Paket data.,1,2025-10-28 06:01:27
Muhammad Jaffar Rayhannur Marpaung,"betul rupanya rata rata yang di tulis di komentar, app nya jelek, otp code aja gabisa dikirimkan, coba evaluasi dan maintenance lagi.",1,2025-10-27 12:37:16
Steven Valianto,lumayan,3,2025-10-22 13:09:35
albert albert,Selama pemakaian tidak ada Masalah. dan tingkatkan keamanan nya untuk Starbucks Indonesia,5,2025-10-14 05:25:35
Jodi Harbianto,apaan tiba² not internet Khan GK jls padahal internet normal lancar 134 bps,1,2025-10-10 04:35:26
rraleonora,my favorite drink🔥,5,2025-10-08 11:28:14
Erhandi Deynez Safa,Sangat Menganggumkan.,5,2025-10-07 09:47:53
VA NARMAN,beyum pernah cuman buat konten aku saja hahahahahaha 2025.,5,2025-10-05 07:57:16
AjiYudo - Rynd,ga bisa login,1,2025-10-03 00:10:16
Dewi Cahyani,lagi buka promo tiba-tiba log out sudah input Email dan password yang benar katanya invalid mau reset password tapi gak masuk2/terima link reset password nya padahal kan selama ini notifikasi masuk ke Email tersebut,1,2025-10-01 02:12:43
Siantar Man,"Masalah sudah selesai, akan tetapi kenapa tidak ada kompensasi terhadap akun yang HP nya dinyatakan rooted? ckckck...",4,2025-09-28 18:05:44
tomi hartomy,aplikasi tiba2 ga bisa login rooted device gimana nih min mau jajan juga,3,2025-09-25 07:02:55
Mama Esther,Best service🙃🫰,5,2025-09-25 05:08:19
Annisa Selvia,ga ada perbaikan ya? gw baca komen isinya smw sama ga useless pisan ini app. malah disuruh kirim email tp ttp aja komen2 yg baru isinya pd komplen ga bs masuk app. AYO RAMAI2 HAPUS APLIKASINYA. nyampah doank,1,2025-09-24 15:50:48
SiSam Elz,aplikasi tdk bs login tulisan finish di bawah sekali tidak bs di tekan,1,2025-09-24 03:07:52
Dekwie pauL,"cuman pamer logo, unfaedah app ini",1,2025-09-23 16:14:01
aris arifianto,"kenapa aplikasi tidak bisa di gunakan? selalu muncul ""your device is detected as a rooted device....""",1,2025-09-23 14:05:49
Billy Wijaya,cozy and good coffee,5,2025-09-23 11:40:28
Rendy Gilbery Rantung,kena devive scurity. booo 👎,1,2025-09-23 11:37:53
A Sunrise,"Hpku gak di root anjir, root atau engga kan bukan urusan kalian, bukan aplikasi bank juga kalian",1,2025-09-23 04:47:22
Roy Gon,"kedetec root? wey salah mapping data lu... sudah di lakukan menonaktifkan developer mode, hasilnya sama aja, hadeh bilang aja mau ngambil balance buat biaya operasional sok sok an device rooting.. Dasar miskin",1,2025-09-22 05:55:37
Gazel Syah Nandia,payah nih aplikasi,1,2025-09-21 13:36:33
vicko agung wiyono,Hp saya ga root tp kok di sebut rooted device ya? Saya update aplikasi starbuck. Tadinya bisa dibuka. Setelah di update hp saya di sebut rooted device. Pdhl saya ga pernah root hp saya. Sampai saya cek ke google dan download root checker juga kata root checker hp saya ga di root. Kenapa ini?,4,2025-09-21 10:26:59
Iglesia Regina Violin,ini mau masuk kok gak bisa? malah cuma kata finish dibawah. terus selanjutnya apa? sebelah mana pilihan sign in nya nih,2,2025-09-21 04:07:54
E Anna,"aplikasi tiba2 tulisan rooted device pdhl sedang gak dipakai pas mau masuk semua pengaturan dh disetting ttp gak bs, pdhl sering saya gunakan. Developer yg bagian mn yg gak diaktifkan?",1,2025-09-20 14:41:10
Lau Tana,"mau sign aja susah anjir, kocak emang",1,2025-09-20 11:41:35
music hitz,"brand terkenal tapi aplikasi bobrok, HP baru beli masa di bilang root, udah banyak komentar tapi ga ada perbaikan",1,2025-09-20 10:55:16
Sulis Tiani,"kok aplikasinya sekarang ga bisa dibuka, tulisannya ""your device is detected as a rooted service"" padahal selama ini baik2 saja dan ga diapa2in aneh banget",1,2025-09-20 08:24:17
meinia w,tidak bisa dipakai,1,2025-09-20 00:57:15
Indah Permatasari,"ini gimana sih aplikasinya, gak bisa login. masa tombol finish ada dibawah, kalo pake android gak bisa di klik 🥲",5,2025-09-19 08:33:10
Liliek Wijayanti,"sudah aktifkan mode developer, tetap tidak bisa buka applikasi.. gimana nih",1,2025-09-19 03:59:39
patricia prawita,Aplikasi di update tapi terus keluar tulisan your device is detected as rooted device........saya sudah ke setelan dan udh matiin semua developer setting tp masih tidak bisa,1,2025-09-19 01:39:48
hadieee -,kacau njir buka di hp lama gw detected as root di hp samsung s23 tombol finishnya kaga bisa dipencet,1,2025-09-18 10:14:10
Yohana Tamba,apa sih aplikasi di root. saya gak bisa pake aplikasinya,1,2025-09-18 08:20:34
lina hartono,"setiap udah selesai milih minuman, udh ketik password pasti loading nya luamaaaaaaaaaaa bangetttt akhirnya menyerah gajadi pesen,, dah gitu aja terus sampe tetangga gue anaknya enem",1,2025-09-17 11:26:25
Eric,"Tiba2 sdh tdk bs masuk lagi ke app, blgnya hape sya di root.. Aneh yg lain bs cm app bucks aja yg ga bs.. Gimana kabar yg saldonya banyak tuh... alamat angus tuh saldonya... scam kah??",1,2025-09-17 05:33:32
Moh Ridwan Hidayat,aplikasi sampah,1,2025-09-16 09:11:37
Sheila Syagita,"BERTAHUN-TAHUN BAIK² AJA. TETIBA ADA NOTIF ""AS ROOTED DEVICE"" SETELAH BIKIN VIDEO DI TIKTOK, VIRAL, TERNYATA GA CUMA SAYA DOANG YG KAYAK GINI",1,2025-09-15 10:39:25
Qiesa Qies,ga bisa kebuka aneh aplikasi nya ngabisin kuota buat download doang👎,1,2025-09-14 08:41:17
Rosyid A.,masa HP saya dikira sudah di root. padahal ga pernah root sama sekali,1,2025-09-14 06:04:12
surya nata,"kenapa habis di update, malah error sih. pas didepan kasir lagi. untung masih ada debit. kenapa bisa begini sih updatenya. hp saya bukan rooted device woi...",1,2025-09-13 08:22:23
ari setiawan,apk jelek gak bisa loging 😔😔😔,1,2025-09-13 00:57:06
tsov soviana,"ini kenapa hbs diupgrade jadi dikunci ""your device is a detected as a rooted device"" mana saldo masih banyak. 😡😡😡",1,2025-09-12 03:33:16
Toni Tjan,perfect,5,2025-09-12 01:47:34
Izhar,"Starbuck card di hp saya setelah di update malah error rooted device, anah padahal selama ini tidak ada masalah, bagaimana ini solusinya?",1,2025-09-11 15:13:25
Jons William,gk ada angin gk ada hujan katanya rooted device..kan aneh,1,2025-09-11 04:32:07
Yanti Jkt,aneh di instal tp ga bs di buka,2,2025-09-10 14:23:07
Hilda Syakinah,"saya baru update tapi ada tampilan ""your device is detected as a rooted device"" dan sudah Developer Mode tetap gak bisa, sayang nih member saya",2,2025-09-10 06:29:23
Teguh Sembiring,tidak bisa di buka aplikasi nya,1,2025-09-09 06:54:31
Jojo,"aplikasi sampah, device udh mati opsi developer masih kedetek root. developer nya lulusan sd?",1,2025-09-09 04:59:03
Arie Bucharie,"dianggap pake rooted software padahal ngga, apa sensitif sama hape China ya?",1,2025-09-09 04:35:25
Melly Melati,"your device is detected as a rooted device. Taeeee lahhh.. pdahal member lama & poin jg masih banyak, pas mau scan byr malah ga bs login.",1,2025-09-09 03:16:24
Dewi Darniyanti,ini knp aplikasi ga bsa log in sih rooted device udh uninstall trs install lgi ttep sama.. tolong diperbaiki sehingga bisa digunakan kembali,1,2025-09-09 00:01:46
dewik setiawati,"kirain hp aku yang jls kok root"" Mulu. pas liat ulasan eh ternyata apknya yg jlk🤣. pantesan retingnya rendah... ini klw gak di paksa mas/mbanya karena sering bngt beli Starbuck suru bikin card MLS bgt percara beli Tumbler Mulu.",1,2025-09-08 11:29:23
puti andam,"padahal biasanya baik baik saja, kenapa updet kali ini bermasalah...tolong diperbaiki",1,2025-09-07 16:42:08
juwita mulyandari,gara gara lupa password terus install ulang beberapa x tetep ga bisa kebuka aplikasinya parah banget,2,2025-09-07 16:32:24
Marcos,ga ada tombol masuk aplikasi aplikasi yang aneh... masa diinstall di HP samsung A33 letak finishnya tengah2 di paling bawah .. sama aja suruh keluar aplikasi... 🤔,1,2025-09-07 14:40:45
Prima Satriya,saya juga update malah error.... GK banget sich,1,2025-09-06 05:55:17
Abdul Mufid,"Your device is detected as a rooted device. To avoid something you don't want, you are not allowed to access this application. What is this? After the update, this word appears in the application, and my application cannot be opened at all, even though my cellphone is not rooted.",1,2025-09-05 20:41:27
kim hiang,udh top up msh da saldo pas mau pake sudh di kunci parah,1,2025-09-05 13:18:08
Oki Hermanto,habis di update malah gabisa dipake,1,2025-09-05 06:45:25
Rahma 21,"gak bisa login, ketika di klik lupa password gak ada email masuk",1,2025-09-05 06:09:13
spanix,Abis bikin acc tetapi setelahnya tidak dapat masuk/login. Selalu di bilang salah user or password...ampe males. Update per 05.09.25 applikasi tidak dapat dibuka dengan message hape terdeteksi di root..sejak kapan smartphone samsung S series bisa di root.,2,2025-09-05 05:29:42
Bambang Santosa,"masalah dengan root device katanya, padahal ga di root sama sekali",1,2025-09-05 03:51:17
Bayu Wahyu,Aplikasi payah kenap gak bisa dibuka padahal g diroot hape saya,1,2025-09-05 03:20:11
fauzi almadani,"maksudnya apa ini... apps baru di upgrade kok malah error ""your device is detected as a rooted device"" jangan sembarangan ya bilang hp saya di root. TOLONG PERBAIKI INI SEGERA !!",1,2025-09-04 15:05:37
Irvan Maulana,"wah, kok habis update terbaru malah dianggap pakai root ya? Padahal masih bawaan xiaomi hyperos 2...",3,2025-09-04 08:54:56
anton wiyono,baru aja instal pake hape baru..merk oppo Reno 13F 5G..malah terdeteksi hape root²an..gak bisa dipakai aplikasinya..di instal bberapa kali ttep aja terdetek hape root2an..pdahal Hp baru langsung beli di storenya oppo..konyol sekali ini aplikasi ini..auto uninstal selamanya..gak jelas...pantes rating 2.4 sekelas Sbux..parah sih..,1,2025-09-04 06:27:53
Bambang Santosa,"tiba tiba hari ini bilang tidak bisa pakai statbuck karena rooted hape androidnya, padahal ga diapa apain. parah kali. cacad bener",1,2025-09-04 03:15:34
Mas Bejo Taruma Negara,habis update ga bisa dibuka malah pemberitahuan rooted device mulu pdhl sblmnya aman² aja,1,2025-09-04 00:20:31
Retno Pangastuti,sudah diupgrade kok malah tidak mau dibuka...tolong diperbaiki,3,2025-09-03 23:55:41
nevo hendarwanto,ini abis update malah gak bisa kepake baru di top up dan bintang dah gold,1,2025-09-03 23:41:53
Endah Noe,knp retry trus sdh d unistal trus instal lgi tetep retry,5,2025-09-03 09:30:22
doanurm,mantap,5,2025-09-03 07:48:42
Ahmad Efendi,tidak bisa kirim kode otp SMS karena terlalu lama kirim kode otp SMS mohon perbaiki,1,2025-08-29 10:13:43
Lulu Harahap,"tolong dong, baru juga mau log in, salah masukin email diangka doang, aturan 79 termasuk 17, susah banget buat registernya",2,2025-08-16 14:50:29
Ligar chanel,ok,5,2025-08-06 03:59:35
Fernando Tanggang,Aplikasi nya tiba tiba sulit dibuka,4,2025-07-30 06:53:40
Gina Devina,"Karakter khusus tidak bisa dipakai login di apps. Web bisa. maksudnya apa ? poin sudah banyak. tukar poin hanya khusus apps. mau nya apa? pikir sendiri aja. daripada buat cerita panjang, solusi tidak kunjung ada. kalau niat ya bisa.",1,2025-07-18 07:24:16
Alex Mulyana,"Daftar akun baru gak bisa bisa , pas udah daftar berhasil , eh login nya malah yg gak terdaftar email passwordnya",1,2025-07-16 08:24:41
Rahmawati 95,buruk,1,2025-07-13 14:32:24
sari alkaff,mau login reset paswd tp d email g dikirim2 g beres aplikasi nya,1,2025-07-13 10:13:38
Yunarir :D,aplikasi rusak. Mau login gk bisa kode otp muluk. Tapi gk keluar² pesannya,1,2025-07-05 08:32:39
Ridwan Syaparudhin,aplikasi lemot login lama,1,2025-07-05 05:00:44
An n,"tidak bisa login dengan alasan network issues padahal kuota masih penuh, sudah ganti ke wifi pun masih sama aja.",1,2025-06-29 05:40:43
Nabhila Lasirino,sudah instal dan unistal berulang kali nggak bisa masuk hanya loading berputar putar saja,1,2025-06-28 17:58:56
Trisna Ade,medan kok gk dpt lokasi nya,1,2025-06-18 13:52:36
Mr Saprin,apps yang bagus,4,2025-06-12 03:55:02
Dityo N,"Reward hilang satu per satu, star juga turun apabila tidak ada transaksi. retensi star dan rewardnya terlaku singkat. Rasanya sudah tidak bermanfaat lagi aplikasinya, saya beli full price sajalah jika lagi ingin minum kopi. percuma punya Starbucks card.",1,2025-06-10 01:37:00
yeshua edward_,"Sudah login, sdh ada OTP dari email, sudah tidak ada kesalahan penulisan email krn sdh dapat KODE OTP dari Email Starbucks tapi tetap gk bisa Login. semoga dapat di perbaiki aplikasinya. Walau dari CS Starbucks bilang ada kesalahan penulisan bla bla bla tpi klo emang dr aplikasi kenapa gk di perbaiki (?).",1,2025-06-09 06:25:08
Helwinda Tri Ardiansyach,utk menu order yg terdaftar hanya toko di jabotabek saja..diluar itu tidak bs..,1,2025-06-08 06:35:49
TANGGUH CLAUDIUS NDRAHA,ampas aplikasinya error login mulu,1,2025-06-04 08:01:09
muh.irfan ardiansyah,Nga jlas aplikasi sudah registrasi tapi nga bisa login,1,2025-06-02 13:50:03
Monica Rizkia Putri,bangke,1,2025-06-02 13:49:45
Lovian Setyowati Haryono,boshookkk eror terus. please lah dibenerin ini,1,2025-06-02 04:08:10
Fmm23 Mantap,"sekelas starbucks manage apknya sebobrok ini? banyak errornya gabisa dibuka, loading gaabis abis, mau pake voucher malah gabisa bisa ujung ujungnya beli normal tanpa voucher, voucher angus gakepake",1,2025-05-28 06:57:02
ikhsannurhak _33,ribet pake aplikasinya ga bisa login,1,2025-05-27 00:41:51
roni misikmbo,okee,5,2025-05-24 12:20:11
Yudi Setiadi,jelek banget bangkrut aja gapapa,1,2025-05-18 07:36:01
Handra Po,"ini aplikasi aneh bgt dah, udah registrasi, tapi pas mau login invalid mulu, padahal email sama password udah sesuai, forgot password jg gak ada efek apa2, niat bikin apps gak sech? koq apps bukan memudahkan malah nyusahin.,",1,2025-05-16 15:10:10
Stelia Shilvier,"ini gimana sih, saya di bandung masa pilihan outletnya bogor. milih area bandung malah kagak ada... error kah?",1,2025-05-12 09:42:15
Niver Land,Membantu banget aplikasi nya,5,2025-05-03 14:20:27
Imam Mawardi,"aplikasinya gak recomend, sering eror, bonus rewardnya juga sedikit. lebih banyak reward dan promo dari brand lokal",1,2025-05-01 08:45:57
Lia A.N,gajelas ga bisa resend kode email,1,2025-04-27 09:07:02
Yanti dharmawan,kenapa aplikasi nya tiddak biisa dibuka yah,3,2025-04-26 08:10:09
Yulia Sari,bagus 👍🏻,5,2025-04-24 08:14:36
Kamu “At” Siapa,ok,5,2025-04-19 17:10:16
Calonmu Dek,mau cari lokasi terdekat malah gabisa. pin point nya slalu di wilayah jakarta,2,2025-04-02 01:13:16
Prasetyo Adi,cukup baik,5,2025-03-22 04:40:46
Buddy Huang,"Good Job, Keep it Up",5,2025-03-15 08:23:30
Rio Sudrajat,PENIPU......Sudah bayar lewat aplikasi. Habis 450k. Pas nyampek Starbucks malah katanya gak ada order masuk. Terus di tolak mentah mentah. Uang 450k kemana?,1,2025-03-04 06:21:23
Hendri Hendri,Sistem yg selalu error mau pesan pun kgk bisa aplikasi sampah,1,2025-03-03 09:12:16
berta marcia,"Card offline cant be use, tumbler Accidentaly fall and broken cant be use.",1,2025-03-03 06:41:34
Andi Huang,"unable to reset password, keeps showing link has expired",1,2025-03-01 01:44:29
Gus Wijaya,"Sangat buruk, setelah saya punya point banyak dan ingin menukar nya, tiba tiba id saya tidak bisa log in dan point saya hilang, kalau tidak niat memberi point ke pelanggan mending gak usah buat member segala, pembodohan sekali, harus nya costomer care nya lebih simple menggunakan wa bukan email",1,2025-02-21 00:30:54
Colded Jamal,"Tolong perbaiki server, saya ingin membuat akun tapi tak bisa karena ""internal server error"".",2,2025-02-02 11:18:34
Ahmad Azzam,saya sangatlah suka sama aplikasi ini,5,2025-01-30 05:34:56
Chandra Borsalino,So sad :(,1,2025-01-27 12:38:27
subhan frendi,"Susah banget mau login padahal dah punya akun, apk nya gajelas sumpah. Perbaiki yaa",1,2025-01-26 12:03:53
Savira Zzz,"aplikasinya suka keluar sndiri, ribet",1,2025-01-26 05:50:06
Ridwan Effendi,Starbucks dari dulu memang susah di akses sistem aplikasinya sehingga membuat penggemar kopi kecewa dan perlu membenahan yg update,1,2025-01-23 05:59:51
Jevon Averill,customer service tidak ada. Kode promo tidak bisa diredeem,1,2025-01-10 13:18:15
hwang lili,Ga bisa join .gagal mulu,1,2025-01-10 11:50:54
Paulina Polin,Udah sing in masukkin kode refferal nya dari mana yah??,1,2025-01-07 06:07:06
mhmmd ripai,Ga bisa login udh reset pass tetep aja ga bisa masuk...,1,2025-01-06 01:50:48
Shafwah Fadli,"Ga jlas appnya, ga bisa log in pdhal email udh terdftar",1,2024-12-31 20:45:16
Sarah Aprilia,Ga bisa login muter-muter terus,1,2024-12-31 11:09:42
Rexzy Andika,Anjay,5,2024-12-31 08:56:32
Iyuna Winarsih,Mau brithday claim pake apps dh 3hr log in gagal terus.. hrs rekrut programmer min..,1,2024-12-30 22:03:48
Garnita Putri,"Saya registrasi via web dan password harus kombinask angka, huruf dan spesial karakter, tapi saat akan login di apps , spesial karakter ^() tidk bs d input, pdhal tdk ada masalah pada keypad. Saya login via browser d smartphone yg sama, tdk ada masalah. Mohon pengembang bs cek bug yg saya infokan, sehingga saya bs login di apps, makasi",2,2024-12-24 08:54:08
Handri Rori,Enak dan Bagus untuk nongkrong sama teman (y) 😇,5,2024-12-22 04:19:44
Adi Irianto,Ok,5,2024-12-21 14:49:01
Desy Natalia sinurat,"Aplikasinya ga bisa di buka, lol. Tolong diperbaiki",1,2024-12-15 17:06:57
Triyanto,Starbucks teman setia dalam bekerja dan layanannya luar biasa bagus..,5,2024-12-05 06:07:33
Dewi Pramita,"Diapl ini g bsa masukan sandi pake spesial karakter, JD sllu harus buka dr web baru bisa memasukan spesial karakter baru kebuka,gmna si nih aplksi, ga guna!!!",1,2024-11-26 16:52:25
Helwah Salon & spa,Saya ngga bisa masukndiakun sata,1,2024-11-24 12:05:27
haerul jr,"Selalu suka dengan pengalaman di Starbucks, untuk aplikasi cukup baik, tinggal dikembangkan dengan baik lagi",5,2024-11-13 17:48:36
Di jual 30k,😡😡😡😡😡😡😡,1,2024-11-13 15:38:17
Zeppelin Simanjuntak,Woii ini gimana sih kok ga muncul2 mau masukin kode otp dari email??,2,2024-11-12 04:01:15
Rachman Tohar,"Aplikasi nya sangat membantu, mudah dipakahami dan di akses, tempatnya sangat nyaman.",5,2024-11-12 00:21:21
Ridho Skiezz,"Aplikasi berjalan cukup baik, tingkatkan lagi performanya;)",5,2024-11-11 14:52:49
Maya_16 Murni,Lu nganggu,1,2024-11-09 13:00:14
Jupiter Is Harson,"Pelayanan barista iman starbuck rest area tol jagorawi km 10,6 mengecewakan, saya sudah memberikan hp untuk point tetapi dijawab sudah payment, benar benar mengecewakan",1,2024-11-09 06:44:15
Muhamad Firly Labaiq,"I have a good experience. Aku suka kopi dan tempatnya, sangan nyaman",5,2024-11-08 10:18:45
Avocado Coffee,Adain pickup daerah karawang,3,2024-11-05 09:23:52
Vincent Setiawan,"aplikasi ga jelas sign out sendiri, udah gitu pas coba sign in ada batasan ga boleh salah password, kl emang ga boleh salah ya elu jangan sign out sendiri kocak bener-bener unfaedah",1,2024-11-04 11:36:45
Muhammad Rafli,Aplikasi Sampah Gak guna,1,2024-11-04 10:18:29
ughie ajah,Starbuck skr kartu gk dipake bintang w hilang ..kacauuuu,1,2024-11-02 08:46:38
Ayu Elvina,"Password ribet banget , ngalah2in login mbanking",2,2024-10-30 06:21:26
Nantaaxzz.,kenapaa udah bisa log in langsung tb tb force close trus ke logout sendirinya tolongg perbaiki sudahh hampir 2 minggu lebih gabisa pake aplikasinya,1,2024-10-28 12:14:27
Michael Setiawan,Tidak bisa log in. Akun ke log out sendiri payah,5,2024-10-26 19:31:44
kertapati muara ogan,Kenapa akun saya tiba2 keluar sendiri gak bisa masuk LG,2,2024-10-23 02:46:20
Nico Susanto,"Ini kenapa sih aplikasii, dari dulu fine fine ajaa knapa skrg tiba tibaa akun ke log out sndiri, trus mau sign in lgi ga bisa, mau join now juga ga bisa, kenapa nih?",2,2024-10-21 14:35:23
Rico Tbn,gabsa login,1,2024-10-21 12:58:57
selvi natalia,"Aplikasi apa sih ini? Mau log in ga bisa udah 2 hari coba. Udah input email dan password yg benar tapi selalu tertera invalid. Kocak bgt aplikasi nya. Klik forgot password, tapi email untuk mereset password udah 2 hari ga masuk2. Ntah ini aplikasi mau nya apa padahal sy ada voucher 50rb yg bntar lagi mau abis masa berlaku nya!",1,2024-10-21 10:58:03
Alviyan Cahyadi,"Tiba-tiba logout, coba login ga bisa, coba forgot password ga bisa. Gimana ini ya. 😅",1,2024-10-21 05:50:20
Eka Permana,Jelek banget apknya. Mana ngelog out sendiri lagi,1,2024-10-21 04:43:17
Haadii Sucipto,Lemot banget mau log in aja susah banget hadeeehh,2,2024-10-21 01:57:09
Christian Simanjuntak,"Per tanggal 20 okt 24 aplikasinya error id sy logout dr apps nya, ga bisa login sm sekali.",1,2024-10-21 01:47:43
Putu Rista Yuliani,Account tiba-tiba logout sendiri dan gak bisa login lgi. Saldo dan star reward hilang gtu aja. Reset password pun gak bisa. Very Bad,1,2024-10-21 01:08:49
Yuci Rachmad,"Error mulu kaga bisa login, reset pasword kaga masuk2",1,2024-10-20 23:14:59
fani natalia,LEMOT BANGET WOY! PASSWORD SELALU TIBA-TIBA GAK BISA LOGIN (PDHAL GAK PERNAH GANTI PASSWORD) ALHASIL SELALU RESET PASSWORD. TAPI PAS MAU RESET gak pernah dapet link reset ke email. KACAU banget super lemot semua-semuanya.,1,2024-10-20 18:00:45
Syaila Cici Ramdina,Ini kenapa si aplikasinya tiba tiba keluar sendiri terus pas mau masuk lagi passwordnya salah terus dibuat reset password malah gada apapun yang dikirim ke email. Tolong ya ini masih banyak uangnya didalam itu dan tidak bisa masuk dari tadi pagi.,1,2024-10-20 09:35:52
alvy kurniawan,"Tidak bisa reset password, tidak dapat email konfirmasinya",1,2024-10-20 07:58:12
reyli palar,Akun saya tidak dapat masuk dan reset pasword,1,2024-10-20 04:42:26
Muhammad Aldi,Aplikasi cukup baik untuk akses informasi promo dan pengumpulan poin rewards,5,2024-10-10 07:06:27
riko ferdi,"Great, Jangan dibuat ribet sampai banyak pengguna, baru di buat secure.",5,2024-10-10 03:20:08
Siti nikmatul khoiriyah,"Tolong jangan kirim saya SMS untuk menawarkan promosi prodak anda. Saya baru 1x beli prodak anda dan itu sudah diatas 5 tahun yang lalu setelah itu saya tidak beli prodak anda lagi. tapi kenapa sampai sekarang anda spam promo prodak via SMS ke nomor saya, nomor anda sudah saya BLOKIR pun SMS anda tetap masuk di HP saya. TOLONG STOP !!!!!!!! KARNA ITU MENGGANGGU !!!!!!!!!!!",1,2024-10-04 01:37:41
amell,"Najis, Tulisan Sign In, Sign Up, sama Store ga simetris gimana sih",1,2024-10-02 13:18:48
muhammad sadam,Trash,1,2024-09-30 07:43:21
Muhammad Ihsanudin,got to hell,1,2024-09-27 22:50:47
Harly Kaustsar,Mantap,5,2024-09-25 11:24:50
Ichal Faisal,Aplikasinya bagus cuma agak lemot semoga aplikasinya bisa lebih baik dan ditingkatkan 🙏🏻😊😊😊,5,2024-09-22 16:40:54
Muhammad Bintang,"login error, customer service ga ada hari weekend. padahal sayang banget lo, kalo tempat nyaman tapi kasi promo pake aplikasi kurang proper kaya gini🙁 what a big shame",2,2024-09-22 05:32:00
Mahardika Ikram,aplikasi bodoh,1,2024-09-21 20:56:21
Bellavista Nadia,Buat log in nya kenapa ga bisa² sih? Lg ada trouble error atau emang aplikasi nya bapuk?,1,2024-09-19 08:37:07
Ryana Rompas,gaada pilihan store yang di dekat rumah untuk order di aplikasi. gimana sih ??,1,2024-09-11 06:15:19
Iwayan Suparta,I can order first new beverage before launching,5,2024-09-03 02:15:45
Gard du Nore,Sulit login,1,2024-09-02 12:54:50
Muhammad Fariz,"jelek bgt, gabisa order via app untuk kota semarang",1,2024-09-02 05:57:11
brian venus,Aplikasi kacau Y g salah klo d kantongin sama fore. Abis inj,1,2024-09-01 03:08:01
Okie Johannes,Ok bener nich aplikasinya mudah dipahami dan diakses nya,5,2024-08-28 11:13:02
